,Name,Count
0,Quần Jean 77,51859
1,0,15523
2,Sửa máy xăm,6718
3,.,2713
4,Hộp phở bò phố cổ,2450
5,Kẹo Doublemint,2377
6,Sữa tắm Falmolive xanh lá,2370
7,Mỳ omni bò hầm,2362
8,Kẹo dynamite sôcola,2360
9,Kem dưỡng da Johnson xanh,2359
10,Thịt bò khô 30g,2358
11,Kẹo Cool Air gói 30,2356
12,Lăn nách boss gold to 50ml,2353
13,Yomost cam 180ml,2342
14,Thăng long mềm,2340
15,Thuốc lá 555 nội,2335
16,Bánh AFC 200g,2333
17,Coca chai 390ml,2329
18,TH true milk dâu 110ml,2323
19,Thuốc Marl black,2319
20,Thuốc Marl đỏ,2317
21,Son dưỡng Sheer cam,2316
22,Thuốc craven loại nhỏ,2315
23,Dây Pond hồng,2312
24,Nước ép Necta đào 1L,2311
25,Pepsi chai 400ml,2311
26,Kẹo extar xylitol bac hà hũ 56g,2310
27,Rượu men 500ml,2309
28,Rượu Vooka 750ml,2309
29,Honda Mono (1),1800
30,Quạt trần Panasonic F-56MZG-GO,1386
31,Bàn ủi B&W SI3288,1385
32,Quạt bàn Asia B12004,1385
33,Giá ủi đồ Blue House 390IB,1384
34,Máy phát điện KAMA,1384
35,Bàn ủi Philips GC2960,1384
36,Quạt treo tường Senko,1383
37,Ổ cắm Bals,1383
38,Nồi thủy tinh Visions 1.25l,1383
39,Cáp đồng trục nhôm 50m,1382
40,Máy phát điện Elemax,1382
41,Máy phát điện Hyundai DHY9KSEM,1382
42,Quạt đứng Asia A16009,1382
43,Quạt hộp Asia F16002,1382
44,Ổn áp Lioa SH-25000-25KVA,1382
45,Ấm đun Sunhan 1818,1382
46,Nồi cơm điện Cuckoo 0331,1382
47,Ấm đun KBO2001,1382
48,Bình thủy điện CD-JUQ30-FS,1382
49,Nồi hấp đa năng Sunhouse 4402,1381
50,Nồi cơm điện Sharp KSH-322V,1381
51,Nồi cơm điện Tiger JCC-2700,1381
52,Ổn áp Ruler 30KVA,1381
53,Ổ cắm âm dạng thẳng IP44,1379
54,K515,1350
55,Bu lông,1290
56,DÉP RED APPLE - KUGARANG,1120
57,Trà sữa,891
58,quần lót,845
59,DÉP KITO,826
60,Vít,663
61,Tem (xe trắng 1124),600
62,Giày test,564
63,Vòng bi,555
64,ốc,539
65,Trà sữa trân châu,532
66,k,531
67,Vòng đệm,523
68,DÉP MONOBO,518
69,TẤT QUẦN,518
70,Đệm,517
71,Error,516
72,Đệm phẳng,516
73,áo lót,409
74,GIÀY ATTIPAS: S-XL,406
75,Tem (xe đen 1121),405
76,TEM,402
77,SỤC RED APPLE - KUGARANG,385
78,"Khăn lụa vẽ tay, thủy ấn",372
79,ống chống,364
80,Lê Hàn Quốc,341
81,Honda Today (2),336
82,BU LÔNG,333
83,Nước xả Comfort 600ml,327
84,ĐỒ BƠI,322
85,Tem,300
86,EXCITER,296
87,đệm,295
88,Bao Da,294
89,Lò xo,291
90,oppo A3S Tím Đen 16G,288
91,ĐỒ NGỦ,287
92,IPHONE 7 PLUS,279
93,Dưa Hấu/ 수박,272
94,A,261
95,AIRBLADE,249
96,a,248
97,GIẦY KITO,245
98,Trà nguyên chất,240
99,Tem (xe đỏ 0121),236
100,Bia 333,236
101,GIẦY KITO NAM,231
102,DÉP SANDAL KITO,224
103,iPhone 7,224
104,Mặt vàng - star ruby,223
105,ĐỆM,220
106,DÉP AEROSOFT,219
107,vòng đệm,218
108,Tắm gội Dnee Kids 400ml,216
109,Ốp Lưng SamSung KIỂU,215
110,C,215
111,GIỎ QUÀ Z,214
112,sáp thơm,214
113,tem,213
114,B,213
115,GIẦY KITO TRẺ EM,210
116,Orange Marmalade,209
117,Khăn lụa tằm 100% tự nhiên,200
118,Nước giặt Dnee 3000ml,200
119,ip7 plus 32g black 99,194
120,VALY,190
121,Bộ Tem,187
122,Dứa,187
123,Kiwi xanh,187
124,Giỏ quà,185
125,립스틱/ Son môi,184
126,iphone X 64g white 99,183
127,ốp,182
128,ĐỒ TẬP,182
129,Bộ đồng hồ tốc độ,180
130,BỘ DÂY ĐIỆN,180
131,SIRIUS RC,179
132,Honda Today (1),179
133,Honda Today SDH50QT-43,179
134,Xoài Thái,177
135,Dây ga,176
136,Nho Xanh Sun World,176
137,Sửa máy xăm IDM,175
138,Nho Đen Mỹ,174
139,Nho Đỏ Mỹ,171
140,Pepsi,170
141,Nước xả Fineline 3500ml,169
142,Dưa lưới,169
143,GIÀY AEROSOFT,168
144,iPhone 6,168
